,Country,ID,Population,GDP ($ per capita),Area (sq. mi.),Airports number,Continent_Name
79,Guernsey,GGY,65409,20000.0,78,2.0,Europe
80,Guinea,GIN,9690222,2100.0,245857,8.0,Africa
81,Guinea-Bissau,GNB,1442029,800.0,36120,3.0,Africa
82,Guyana,GUY,767245,4000.0,214970,14.0,South America
83,Haiti,HTI,8308504,1600.0,27750,6.0,North America
84,Honduras,HND,7326496,2600.0,112090,12.0,North America
85,Hong Kong,HKG,6940432,28800.0,1092,8.0,Asia
86,Hungary,HUN,9981334,13900.0,93030,15.0,Europe
87,Iceland,ISL,299388,30900.0,103000,21.0,Europe
88,India,IND,1095351995,2900.0,3287590,176.0,Asia
89,Indonesia,IDN,245452739,3200.0,1919440,178.0,Asia
90,Iran,IRN,68688433,7000.0,1648000,83.0,Asia
91,Iraq,IRQ,26783383,1500.0,437072,16.0,Asia
92,Ireland,IRL,4062235,29600.0,70280,19.0,Europe
93,Isle of Man,IMN,75441,21000.0,572,1.0,Europe
94,Israel,ISR,6352117,19800.0,20770,18.0,Asia
95,Italy,ITA,58133509,26700.0,301230,120.0,Europe
96,Jamaica,JAM,2758124,3900.0,10991,6.0,North America
97,Japan,JPN,127463611,28200.0,377835,164.0,Asia
98,Jersey,JEY,91084,24800.0,116,1.0,Europe
99,Jordan,JOR,5906760,4300.0,92300,5.0,Asia
100,Kazakhstan,KAZ,15233244,6300.0,2717300,29.0,Europe
101,Kazakhstan,KAZ,15233244,6300.0,2717300,29.0,Asia
102,Kenya,KEN,34707817,1000.0,582650,51.0,Africa
103,Kiribati,KIR,105432,800.0,811,18.0,Oceania
104,Kuwait,KWT,2418393,19000.0,17820,3.0,Asia
105,Kyrgyzstan,KGZ,5213898,1600.0,198500,11.0,Asia
106,Laos,LAO,6368481,1700.0,236800,14.0,Asia
107,Latvia,LVA,2274735,10200.0,64589,6.0,Europe
108,Lebanon,LBN,3874050,4800.0,10400,3.0,Asia
109,Lesotho,LSO,2022331,3000.0,30355,3.0,Africa
110,Liberia,LBR,3042004,1000.0,111370,3.0,Africa
111,Libya,LBY,5900754,6400.0,1759540,20.0,Africa
112,Lithuania,LTU,3585906,11400.0,65200,10.0,Europe
113,Luxembourg,LUX,474413,55100.0,2586,1.0,Europe
114,Macau,MAC,453125,19400.0,28,1.0,Asia
115,Macedonia,MKD,2050554,6700.0,25333,2.0,Europe
116,Madagascar,MDG,18595469,800.0,587040,44.0,Africa
117,Malawi,MWI,13013926,600.0,118480,10.0,Africa
118,Malaysia,MYS,24385858,9000.0,329750,44.0,Asia
119,Maldives,MDV,359008,3900.0,300,32.0,Asia
120,Mali,MLI,11716829,900.0,1240000,10.0,Africa
121,Malta,MLT,400214,17700.0,316,4.0,Europe
122,Marshall Islands,MHL,60422,1600.0,11854,30.0,Oceania
123,Martinique,MTQ,436131,14400.0,1100,1.0,North America
124,Mauritania,MRT,3177388,1800.0,1030700,11.0,Africa
125,Mauritius,MUS,1240827,11400.0,2040,2.0,Africa
126,Mayotte,MYT,201234,2600.0,374,1.0,Africa
127,Mexico,MEX,107449525,9000.0,1972550,88.0,North America
128,Moldova,MDA,4466706,1800.0,33843,7.0,Europe
129,Mongolia,MNG,2832224,1800.0,1564116,16.0,Asia
130,Montserrat,MSR,9439,3400.0,102,2.0,North America
131,Morocco,MAR,33241259,4000.0,446550,26.0,Africa
132,Mozambique,MOZ,19686505,1200.0,801590,28.0,Africa
133,Namibia,NAM,2044147,7200.0,825418,19.0,Africa
134,Nauru,NRU,13287,5000.0,21,1.0,Oceania
135,Nepal,NPL,28287147,1400.0,147181,39.0,Asia
136,Netherlands,NLD,16491461,28600.0,41526,66.0,Europe
137,Netherlands Antilles,ANT,221736,11400.0,960,6.0,North America
138,New Caledonia,NCL,219246,15000.0,19060,11.0,Oceania
139,New Zealand,NZL,4076140,21600.0,268680,72.0,Oceania
140,Nicaragua,NIC,5570129,2300.0,129494,13.0,North America
141,Niger,NER,12525094,800.0,1267000,7.0,Africa
142,Nigeria,NGA,131859731,900.0,923768,36.0,Africa
143,Norway,NOR,4610820,37800.0,323802,68.0,Europe
144,Oman,OMN,3102229,13100.0,212460,8.0,Asia
145,Pakistan,PAK,165803560,2100.0,803940,53.0,Asia
146,Palau,PLW,20579,9000.0,458,1.0,Oceania
147,Panama,PAN,3191319,6300.0,78200,27.0,North America
148,Papua New Guinea,PNG,5670544,2200.0,462840,56.0,Oceania
149,Paraguay,PRY,6506464,4700.0,406750,9.0,South America
150,Peru,PER,28302603,5100.0,1285220,45.0,South America
151,Philippines,PHL,89468677,4600.0,300000,73.0,Asia
152,Poland,POL,38536869,11100.0,312685,55.0,Europe
153,Portugal,PRT,10605870,18000.0,92391,35.0,Europe
154,Puerto Rico,PRI,3927188,16800.0,13790,11.0,North America
155,Qatar,QAT,885359,21500.0,11437,3.0,Asia
156,Reunion,REU,787584,5800.0,2517,3.0,Africa
157,Romania,ROU,22303552,7000.0,237500,22.0,Europe
158,Russia,RUS,142893540,8900.0,17075200,276.0,Europe
159,Russia,RUS,142893540,8900.0,17075200,276.0,Asia
160,Rwanda,RWA,8648248,1300.0,26338,3.0,Africa
161,Saint Helena,SHN,7502,2500.0,413,1.0,Africa
162,Saint Lucia,LCA,168458,5400.0,616,2.0,North America
163,Saint Vincent and the Grenadines,VCT,117848,2900.0,389,5.0,North America
164,Samoa,WSM,176908,5600.0,2944,4.0,Oceania
165,Saudi Arabia,SAU,27019731,11800.0,1960582,46.0,Asia
166,Senegal,SEN,11987121,1600.0,196190,11.0,Africa
167,Serbia,SRB,9396411,2200.0,88361,7.0,Europe
168,Seychelles,SYC,81541,7800.0,455,10.0,Africa
169,Sierra Leone,SLE,6005250,500.0,71740,8.0,Africa
170,Singapore,SGP,4492150,23700.0,693,7.0,Asia
