,Country,ID,Population,GDP ($ per capita),Area (sq. mi.),Airports number
115,Lebanon,LBN,3874050,4800.0,10400,3.0
116,Lesotho,LSO,2022331,3000.0,30355,3.0
117,Liberia,LBR,3042004,1000.0,111370,3.0
118,Libya,LBY,5900754,6400.0,1759540,20.0
120,Lithuania,LTU,3585906,11400.0,65200,10.0
121,Luxembourg,LUX,474413,55100.0,2586,1.0
122,Macau,MAC,453125,19400.0,28,1.0
123,Macedonia,MKD,2050554,6700.0,25333,2.0
124,Madagascar,MDG,18595469,800.0,587040,44.0
125,Malawi,MWI,13013926,600.0,118480,10.0
126,Malaysia,MYS,24385858,9000.0,329750,44.0
127,Maldives,MDV,359008,3900.0,300,32.0
128,Mali,MLI,11716829,900.0,1240000,10.0
129,Malta,MLT,400214,17700.0,316,4.0
130,Marshall Islands,MHL,60422,1600.0,11854,30.0
131,Martinique,MTQ,436131,14400.0,1100,1.0
132,Mauritania,MRT,3177388,1800.0,1030700,11.0
133,Mauritius,MUS,1240827,11400.0,2040,2.0
134,Mayotte,MYT,201234,2600.0,374,1.0
135,Mexico,MEX,107449525,9000.0,1972550,88.0
137,Moldova,MDA,4466706,1800.0,33843,7.0
139,Mongolia,MNG,2832224,1800.0,1564116,16.0
140,Montserrat,MSR,9439,3400.0,102,2.0
141,Morocco,MAR,33241259,4000.0,446550,26.0
142,Mozambique,MOZ,19686505,1200.0,801590,28.0
143,Namibia,NAM,2044147,7200.0,825418,19.0
144,Nauru,NRU,13287,5000.0,21,1.0
145,Nepal,NPL,28287147,1400.0,147181,39.0
146,Netherlands,NLD,16491461,28600.0,41526,66.0
147,Netherlands Antilles,ANT,221736,11400.0,960,6.0
148,New Caledonia,NCL,219246,15000.0,19060,11.0
149,New Zealand,NZL,4076140,21600.0,268680,72.0
150,Nicaragua,NIC,5570129,2300.0,129494,13.0
151,Niger,NER,12525094,800.0,1267000,7.0
152,Nigeria,NGA,131859731,900.0,923768,36.0
154,Norway,NOR,4610820,37800.0,323802,68.0
155,Oman,OMN,3102229,13100.0,212460,8.0
156,Pakistan,PAK,165803560,2100.0,803940,53.0
157,Palau,PLW,20579,9000.0,458,1.0
158,Panama,PAN,3191319,6300.0,78200,27.0
159,Papua New Guinea,PNG,5670544,2200.0,462840,56.0
160,Paraguay,PRY,6506464,4700.0,406750,9.0
161,Peru,PER,28302603,5100.0,1285220,45.0
162,Philippines,PHL,89468677,4600.0,300000,73.0
163,Poland,POL,38536869,11100.0,312685,55.0
164,Portugal,PRT,10605870,18000.0,92391,35.0
165,Puerto Rico,PRI,3927188,16800.0,13790,11.0
166,Qatar,QAT,885359,21500.0,11437,3.0
167,Reunion,REU,787584,5800.0,2517,3.0
168,Romania,ROU,22303552,7000.0,237500,22.0
169,Russia,RUS,142893540,8900.0,17075200,276.0
170,Rwanda,RWA,8648248,1300.0,26338,3.0
171,Saint Helena,SHN,7502,2500.0,413,1.0
173,Saint Lucia,LCA,168458,5400.0,616,2.0
175,Saint Vincent and the Grenadines,VCT,117848,2900.0,389,5.0
176,Samoa,WSM,176908,5600.0,2944,4.0
179,Saudi Arabia,SAU,27019731,11800.0,1960582,46.0
180,Senegal,SEN,11987121,1600.0,196190,11.0
181,Serbia,SRB,9396411,2200.0,88361,7.0
182,Seychelles,SYC,81541,7800.0,455,10.0
183,Sierra Leone,SLE,6005250,500.0,71740,8.0
184,Singapore,SGP,4492150,23700.0,693,7.0
185,Slovakia,SVK,5439448,13300.0,48845,8.0
186,Slovenia,SVN,2010347,19000.0,20273,6.0
187,Solomon Islands,SLB,552438,1700.0,28450,25.0
188,Somalia,SOM,8863338,500.0,637657,13.0
189,South Africa,ZAF,44187637,10700.0,1219912,102.0
190,Spain,ESP,40397842,22000.0,504782,84.0
191,Sri Lanka,LKA,20222240,3700.0,65610,14.0
192,Sudan,SDN,41236378,1900.0,2505810,20.0
193,Suriname,SUR,439117,4000.0,163270,22.0
194,Swaziland,SWZ,1136334,4900.0,17363,2.0
195,Sweden,SWE,9016596,26800.0,449964,158.0
196,Switzerland,CHE,7523934,32700.0,41290,61.0
197,Syria,SYR,18881361,3300.0,185180,6.0
198,Taiwan,TWN,23036087,23400.0,35980,60.0
199,Tajikistan,TJK,7320815,1000.0,143100,4.0
200,Tanzania,TZA,37445392,600.0,945087,29.0
201,Thailand,THA,64631595,7400.0,514000,55.0
202,Togo,TGO,5548702,1500.0,56785,4.0
203,Tonga,TON,114689,2200.0,748,6.0
205,Tunisia,TUN,10175014,6900.0,163610,13.0
206,Turkey,TUR,70413958,6700.0,780580,78.0
207,Turkmenistan,TKM,5042920,5800.0,488100,6.0
209,Tuvalu,TUV,11810,1100.0,26,1.0
210,Uganda,UGA,28195754,1400.0,236040,14.0
211,Ukraine,UKR,46710816,5400.0,603700,41.0
212,United Arab Emirates,ARE,2602713,23200.0,82880,19.0
213,United Kingdom,GBR,60609153,27700.0,244820,211.0
214,United States,USA,298444215,37800.0,9631420,2081.0
215,Uruguay,URY,3431932,12800.0,176220,11.0
216,Uzbekistan,UZB,27307134,1700.0,447400,13.0
217,Vanuatu,VUT,208869,2900.0,12200,29.0
218,Venezuela,VEN,25730435,4800.0,912050,59.0
219,Vietnam,VNM,84402966,2500.0,329560,28.0
220,Virgin Islands,VIR,108605,17200.0,1910,4.0
221,Wallis and Futuna,WLF,16025,3700.0,274,2.0
222,West Bank,WBK,2460492,800.0,5860,1.0
224,Yemen,YEM,21456188,800.0,527970,11.0
225,Zambia,ZMB,11502010,800.0,752614,14.0
226,Zimbabwe,ZWE,12236805,1900.0,390580,18.0
